url,title,page_type,primary_intent,search_intents_merged,status,evidence_source_ids,acceptance_criteria
/,Moonlight Peaks Launch & Demo Checklist,tool,moonlight peaks,"moonlight peaks; moonlight peaks game; moonlight peaks steam",launch,"moonlight-official-site; moonlight-steam-store; moonlight-marvelous-eu-demo-2026-06; moonlight-marvelous-usa-game-page","First viewport shows status matrix, source confidence, and HOLD warning; no images; links to all core pages."
/updates/,Moonlight Peaks Official Updates and Patch Status,official-confirmed,moonlight peaks update,"moonlight peaks update; moonlight peaks patch; moonlight peaks known issues",live,"moonlight-steam-official-announcements-2026-07; moonlight-steam-known-issues-2026-07-09; moonlight-steam-patch-1-1-38-2026-07-10; moonlight-youtube-release-date-trailer-2026-03","Lists only official announcements and patch notes; links to the official trailer without copying media; excludes community workarounds."
/demo/,Moonlight Peaks Demo Status,official-confirmed,moonlight peaks demo,"moonlight peaks demo; moonlight peaks steam demo; moonlight peaks switch demo",launch,"moonlight-official-site; moonlight-steam-store; moonlight-marvelous-eu-demo-2026-06","Clearly states demo availability by source; includes what official release says demo includes; states save transfer is not confirmed."
/switch-steam/,Moonlight Peaks Steam, Switch, Switch 2, and Google Play Status,official-confirmed,moonlight peaks switch,"moonlight peaks switch; moonlight peaks switch 2; moonlight peaks steam; moonlight peaks google play games",launch,"moonlight-marvelous-usa-game-page; moonlight-marvelous-eu-demo-2026-06; moonlight-clouded-leopard-page; moonlight-steam-store","Platform matrix includes regional notes; no performance or feature parity claims."
/release-date/,Moonlight Peaks Release Date and Regional Notes,official-confirmed,moonlight peaks release date,"moonlight peaks release date; moonlight peaks launch date; when does moonlight peaks come out",launch,"moonlight-official-site; moonlight-steam-store; moonlight-marvelous-usa-platforms-2026-03; moonlight-clouded-leopard-page","Explains July 7 vs July 9 with source labels; no countdown script required."
/starter-checklist/,Moonlight Peaks Starter Checklist,tool,moonlight peaks checklist,"moonlight peaks beginner; moonlight peaks before you play; moonlight peaks launch checklist",launch,"moonlight-official-site; moonlight-marvelous-eu-demo-2026-06; moonlight-pcgamer-demo-2026-06","Checklist uses only official facts plus clearly labeled press leads; no route, gifts, crop tables, or walkthrough."
/sources/,Sources and Held Claims,trust,moonlight peaks sources,"moonlight peaks sources; moonlight peaks wiki; moonlight peaks fandom",launch,"all registered source ids","Lists official/platform/press/community source tiers; lists held claims and why."
/about/,About Moonlight Peaks Compass,trust,moonlight peaks unofficial,"moonlight peaks compass; moonlight peaks unofficial guide",launch,"moonlight-official-site","States unofficial status, fast-test scope, no affiliation."
/editorial/,Editorial and Evidence Policy,trust,moonlight peaks evidence policy,"moonlight peaks evidence policy; moonlight peaks corrections",launch,"research evidence policy","Explains official-confirmed/tested/lead/hold labels."
/contact/,Contact and Corrections,trust,moonlight peaks corrections,"moonlight peaks contact; moonlight peaks corrections",launch,"research evidence policy","Provides correction instructions without collecting sensitive data."
/privacy/,Privacy,trust,moonlight peaks privacy,"moonlight peaks privacy",launch,"site policy","States no ads, no analytics, no cookies in v0.1."
future,Romance Gifts and Dating Routes,needs-gameplay,moonlight peaks romance,"moonlight peaks romance; moonlight peaks gifts",hold,"moonlight-hold-002","Do not create URL until official or gameplay evidence exists."
future,Characters Database,needs-gameplay,moonlight peaks characters,"moonlight peaks characters; moonlight peaks villagers",hold,"moonlight-serp-risk-001; moonlight-hold-002","Do not create URL; wiki/Fandom supply is strong."
future,Crops and Recipes,needs-gameplay,moonlight peaks crops,"moonlight peaks crops; moonlight peaks recipes",hold,"moonlight-hold-002","Do not create URL until tested or official table exists."
